ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.9,Saquon Barkley ,RB,NYG,185,0.8,1,4,11
1.02,2.4,Alvin Kamara ,RB,NO,90,0.8,1,4,6
1.04,3.6,Christian McCaffrey ,RB,CAR,112,1.1,1,6,13
1.04,3.8,Ezekiel Elliott ,RB,DAL,67,1.0,1,6,10
1.06,6.1,   James Conner ,RB,PIT,79,1.6,1,12,8
1.06,6.1,DeAndre Hopkins ,WR,HOU,105,1.8,1,12,8
1.07,7.2,LeVeon Bell ,RB,NYJ,88,2.1,1,13,11
1.07,7.2,Nick Chubb ,RB,CLE,105,2.0,4,15,9
1.09,9.2,Davante Adams ,WR,GB,108,2.0,4,16,5
1.11,10.6,Dalvin Cook ,RB,MIN,115,2.1,5,15,7
1.11,10.9,Julio Jones ,WR,ATL,93,2.1,5,16,10
1.11,11.4,Todd Gurley ,RB,LAR,117,2.3,6,18,9
2.01,12.9,Tyreek Hill ,WR,KC,120,2.4,6,17,10
2.01,12.9,Michael Thomas ,WR,NO,127,2.2,7,19,6
2.02,14.2,David Johnson ,RB,ARI,225,4.4,5,27,8
2.03,14.9,Odell Beckham  Jr,WR,CLE,149,2.2,10,21,9
2.04,15.9,JuJu Smith-Schuster ,WR,PIT,125,2.3,11,22,8
2.04,16.4,Pat Mahomes ,QB,KC,94,7.1,1,27,10
2.04,16.4,Joe Mixon ,RB,CIN,119,3.4,7,23,9
2.06,17.8,Travis Kelce ,TE,KC,114,3.5,8,24,10
2.08,20.3,Leonard Fournette ,RB,JAX,111,2.7,13,27,7
2.10,21.5,Mike Evans ,WR,TB,133,2.0,16,28,13
2.11,22.9,Chris Carson ,RB,SEA,127,3.0,15,30,6
2.11,23.3,Antonio Brown ,WR,NE,129,3.0,15,30,6
3.01,24.6,Damien Williams ,RB,KC,66,3.0,17,34,10
3.01,25.5,Aaron Jones ,RB,GB,112,3.7,15,33,5
3.02,26.0,Adam Thielen ,WR,MIN,109,2.7,18,32,7
3.04,27.8,Keenan Allen ,WR,LAC,91,2.5,21,35,10
3.04,28.0,Josh Jacobs ,RB,LV,79,3.7,18,36,6
3.04,28.5,Kerryon Johnson ,RB,DET,131,3.2,20,38,5
3.05,29.1,David Montgomery ,RB,CHI,103,3.3,20,36,11
3.07,31.1,George Kittle ,TE,SF,100,5.0,18,43,11
3.08,31.7,Devonta Freeman ,RB,ATL,164,3.6,22,39,10
3.10,33.8,Sony Michel ,RB,NE,153,3.0,25,44,6
3.10,33.9,Amari Cooper ,WR,DAL,134,4.4,22,44,10
3.11,35.4,Derrick Henry ,RB,TEN,124,5.0,22,48,7
4.01,36.6,Stefon Diggs ,WR,MIN,109,3.9,26,45,7
4.01,37.3,Zach Ertz ,TE,PHI,105,4.5,25,48,9
4.01,37.5,Mark Ingram ,RB,BAL,117,3.5,28,48,8
4.03,38.9,Brandin Cooks ,WR,LAR,115,3.9,28,47,9
4.04,40.3,Melvin Gordon ,RB,LAC,60,5.6,25,50,10
4.06,41.5,Marlon Mack ,RB,IND,134,4.2,30,53,7
4.06,41.7,Deshaun Watson ,QB,HOU,65,7.3,23,54,8
4.07,42.5,Tyler Lockett ,WR,SEA,119,3.1,34,50,6
4.07,43.3,Chris Godwin ,WR,TB,76,4.0,32,54,13
4.08,44.0,Robert Woods ,WR,LAR,100,3.5,34,51,9
4.10,46.0,Julian Edelman ,WR,NE,116,4.8,33,59,6
4.11,47.1,Phillip Lindsay ,RB,DEN,113,5.6,32,63,8
5.01,48.7,Tevin Coleman ,RB,SF,106,5.4,36,67,11
5.01,49.1,   Cooper Kupp ,WR,LAR,76,4.4,37,58,9
