ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
5.01,49.5,Miles Sanders ,RB,PHI,80,5.5,37,60,9
5.02,50.4,Josh Gordon ,WR,SEA,97,4.6,38,62,6
5.04,52.0,T.Y. Hilton ,WR,IND,125,4.2,43,66,7
5.04,52.2,Aaron Rodgers ,QB,GB,86,5.0,39,61,5
5.05,53.0,Kenny Golladay ,WR,DET,137,5.4,41,68,5
5.06,54.1,O.J. Howard ,TE,TB,62,5.9,38,65,13
5.07,54.9,Mike Williams ,WR,LAC,96,4.3,43,65,10
5.08,55.7,   Austin Ekeler ,RB,LAC,169,7.3,36,71,10
5.09,57.1,Duke Johnson ,RB,HOU,126,5.5,42,73,8
5.11,58.5,   Baker Mayfield ,QB,CLE,75,9.5,33,71,9
5.11,59.1,Calvin Ridley ,WR,ATL,108,4.8,48,69,10
5.12,60.0,Evan Engram ,TE,NYG,72,7.8,39,71,11
6.01,61.4,A.J. Green ,WR,CIN,79,6.0,45,77,9
6.02,62.2,Tyler Boyd ,WR,CIN,100,6.0,46,84,9
6.02,62.4,Matt Ryan ,QB,ATL,55,5.6,49,77,10
6.03,63.3,Derrius Guice ,RB,WAS,143,5.6,48,80,8
6.04,63.9,Hunter Henry ,TE,LAC,74,5.7,48,73,10
6.07,66.6,   James White ,RB,NE,95,8.5,44,82,6
6.07,67.1,Dede Westbrook ,WR,JAX,132,5.5,52,83,7
6.09,69.3,Drew Brees ,QB,NO,55,13.9,33,83,6
6.10,69.6,D.J. Moore ,WR,CAR,95,5.8,54,82,13
6.10,69.9,   Carson Wentz ,QB,PHI,71,6.7,52,88,9
6.11,70.6,Latavius Murray ,RB,NO,116,6.7,53,87,6
6.11,70.9,Alshon Jeffery ,WR,PHI,99,6.9,52,88,9
7.01,72.9,Jared Cook ,TE,NO,53,4.5,64,83,6
7.02,73.6,Robby Anderson ,WR,NYJ,69,6.1,57,88,11
7.03,75.2,   Allen Robinson ,WR,CHI,92,6.2,63,92,11
7.04,76.3,Jarvis Landry ,WR,CLE,91,7.4,56,92,9
7.06,77.8,Vance McDonald ,TE,PIT,56,6.4,62,98,8
7.06,78.0,Tony Pollard ,RB,DAL,60,7.8,60,93,10
7.07,78.5,Kenyan Drake ,RB,ARI,102,6.8,61,93,8
7.08,79.5,Darwin Thompson ,RB,KC,29,7.2,68,94,10
7.08,80.3,Jared Goff ,QB,LAR,81,5.9,65,95,9
7.08,80.4,Will Fuller ,WR,HOU,101,6.6,63,103,8
7.10,82.3,Matt Breida ,RB,SF,154,7.0,64,99,11
7.12,83.8,David Njoku ,TE,CLE,37,7.9,69,101,9
7.12,84.1,Tarik Cohen ,RB,CHI,89,9.9,58,101,11
8.02,86.0,Emmanuel Sanders ,WR,SF,118,7.1,67,99,11
8.02,86.4,Devin Singletary ,RB,BUF,192,12.8,53,106,11
8.03,86.6,Russell Wilson ,QB,SEA,40,8.0,73,106,6
8.04,88.2,Lamar Jackson ,QB,BAL,61,12.3,56,110,8
8.05,88.8,Curtis Samuel ,WR,CAR,100,7.5,69,106,13
8.05,88.9,Chicago Defense,DEF,CHI,86,11.7,58,101,11
8.07,90.9,LeSean McCoy ,RB,KC,127,13.1,56,108,10
8.07,91.1,Sammy Watkins ,WR,KC,67,6.8,73,105,10
8.08,91.6,Christian Kirk ,WR,ARI,85,7.9,71,106,8
8.08,91.9,Rashaad Penny ,RB,SEA,58,7.5,72,103,6
8.09,92.6,Darrell Henderson ,RB,LAR,49,6.7,75,103,9
9.02,97.8,Cam Newton ,QB,CAR,98,8.5,75,115,13
9.03,98.6,Marvin Jones ,WR,DET,65,6.1,82,108,5
9.03,98.7,Delanie Walker ,TE,TEN,46,14.0,78,132,7
9.03,98.8,Jordan Howard ,RB,PHI,42,9.2,74,110,9
9.03,99.0,Sterling Shepard ,WR,NYG,80,10.2,72,113,11
9.06,102.2,Kareem Hunt ,RB,CLE,42,9.7,77,117,9
9.07,102.5,   James Washington ,WR,PIT,73,9.0,79,116,8
9.07,102.6,Marquez Valdes-Scantling ,WR,GB,110,6.7,85,115,5
9.07,102.9,Kyler Murray ,QB,ARI,67,8.6,80,120,8
9.08,104.3,Philip Rivers ,QB,LAC,75,10.2,79,124,10
9.09,104.8,Jameis Winston ,QB,TB,80,9.2,80,119,13
9.09,105.4,LA Rams Defense,DEF,LAR,63,5.7,94,116,9
9.12,108.4,Royce Freeman ,RB,DEN,54,8.6,86,130,8
9.12,108.5,Corey Davis ,WR,TEN,73,8.3,86,123,7
10.02,109.8,Jacksonville Defense,DEF,JAX,36,15.7,68,123,7
10.02,109.9,Eric Ebron ,TE,IND,45,17.4,73,142,7
10.03,111.3,Geronimo Allison ,WR,GB,67,8.6,89,124,5
10.04,111.6,Michael Gallup ,WR,DAL,81,8.3,90,127,10
10.05,112.9,Ben Roethlisberger ,QB,PIT,96,11.2,83,133,8
10.06,114.2,Larry Fitzgerald ,WR,ARI,64,10.8,86,130,8
10.06,114.3,Tom Brady ,QB,NE,76,17.4,69,135,6
10.06,114.4,Adrian Peterson ,RB,WAS,42,7.6,94,129,8
10.07,114.9,Baltimore Defense,DEF,BAL,27,11.3,85,129,8
10.08,115.5,Peyton Barber ,RB,TB,57,10.8,87,132,13
10.10,117.8,DeSean Jackson ,WR,PHI,55,8.6,95,133,9
10.11,118.8,Justice Hill ,RB,BAL,92,10.2,92,139,8
10.12,120.2,Dante Pettis ,WR,SF,57,8.7,97,134,11
11.02,122.4,Minnesota Defense,DEF,MIN,26,8.2,101,140,7
11.03,123.3,Justin Jackson ,RB,LAC,136,11.2,94,144,10
11.04,123.9,Courtland Sutton ,WR,DEN,53,9.6,98,139,8
11.06,126.4,D.K.   Metcalf ,WR,SEA,30,8.4,108,140,6
11.07,127.1,Donte Moncrief ,WR,CAR,48,8.7,104,141,13
11.07,127.3,Dak Prescott ,QB,DAL,66,7.5,107,139,10
11.07,127.5,Kalen Ballage ,RB,MIA,73,8.9,108,147,11
11.07,127.5,  Cleveland  Defense,DEF,CLE,21,7.4,108,135,9
11.09,128.6,Jaylen Samuels ,RB,PIT,73,10.3,101,146,8
11.10,129.5,Alexander Mattison ,RB,MIN,81,10.3,102,147,7
11.10,129.7,Mark Andrews ,TE,BAL,102,16.3,87,162,8
11.10,130.3,Trey Burton ,TE,CHI,56,17.6,84,154,11
11.11,131.1,LA Chargers Defense,DEF,LAC,17,7.5,118,150,10
11.12,131.5,   Kirk Cousins ,QB,MIN,59,9.7,106,143,7
12.01,133.1,Golden Tate ,WR,NYG,44,8.4,111,146,11
12.01,133.1,Mecole Hardman ,WR,KC,26,13.6,97,153,10
12.03,134.6,Tyrell Williams ,WR,LV,60,8.6,113,150,6
12.03,134.6,Anthony Miller ,WR,CHI,31,9.0,116,150,11
12.03,135.3,   John Brown ,WR,BUF,43,8.2,115,145,11
12.06,138.4,Mitch   Trubisky ,QB,CHI,38,6.8,122,150,11
12.08,140.3,  Dallas  Defense,DEF,DAL,34,10.1,113,159,10
12.12,143.8,Carlos Hyde ,RB,HOU,122,18.5,95,171,8
13.01,144.8,Josh Allen ,QB,BUF,42,10.9,116,172,11
13.01,144.8,Greg Zuerlein ,PK,LAR,168,9.9,119,157,9
13.01,145.1,Denver Defense,DEF,DEN,32,9.8,119,171,8
13.02,146.0,Harrison Butker ,PK,KC,41,13.7,110,160,10
13.02,146.2,New England Defense,DEF,NE,44,12.4,114,175,6
13.04,148.2,Damien Harris ,RB,NE,40,11.1,119,170,6
13.05,149.0,Keke Coutee ,WR,HOU,28,14.6,123,170,8
13.05,149.2,   Austin Hooper ,TE,ATL,129,21.1,94,180,10
13.05,149.4,Justin Tucker ,PK,BAL,87,8.6,126,159,8
13.06,149.7,T.J. Hockenson ,TE,DET,122,20.6,96,180,5
13.06,150.1,Ronald Jones  II,RB,TB,31,17.1,105,174,13
13.07,150.7,Jamison Crowder ,WR,NYJ,43,13.2,121,172,11
13.10,153.7,Jimmy Garoppolo ,QB,SF,39,11.3,136,179,11
13.10,153.7,Ito Smith ,RB,ATL,57,15.3,119,178,10
13.10,154.2,Stephen Gostkowski ,PK,NE,25,14.1,121,169,6
13.11,155.0,Derek Carr ,QB,LV,28,13.4,126,180,6
13.11,155.0,Dion Lewis ,RB,TEN,40,14.3,121,176,7
13.11,155.1,Jordan Reed ,TE,WAS,20,24.9,97,180,8
13.12,156.1,Greg Olsen ,TE,CAR,63,24.7,91,180,13
14.01,156.8,N'Keal Harry ,WR,NE,14,16.3,121,175,6
14.01,156.8,CJ Anderson ,RB,FA,18,13.4,139,177,12
14.01,157.2,Marquise Goodwin ,WR,SF,37,10.9,139,176,11
14.01,157.3,Ty Montgomery ,RB,NYJ,15,19.0,112,180,11
14.03,159.2,Wil Lutz ,PK,NO,35,3.9,149,167,6
14.03,159.5,Dare Ogunbowale ,RB,TB,15,22.8,103,183,13
14.04,160.1,Kenny Stills ,WR,HOU,18,14.2,135,179,8
14.04,160.2,Kaimi Fairbairn ,PK,HOU,28,10.9,131,177,8
14.06,162.3,Sam Darnold ,QB,NYJ,17,13.6,129,180,11
14.06,162.5,Seattle Defense,DEF,SEA,80,14.4,125,180,6
14.07,162.5,Tre'Quan Smith ,WR,NO,19,10.3,145,178,6
14.07,162.7,Philadelphia Defense,DEF,PHI,87,11.5,132,180,9
14.07,163.3,Deebo Samuel ,WR,SF,20,8.1,154,179,11
14.08,163.6,Miles Boykin ,WR,BAL,23,14.9,124,180,8
14.08,164.4,Jacoby Brissett ,QB,IND,16,11.3,135,175,7
14.09,164.9,Robbie Gould ,PK,SF,19,4.0,161,174,11
14.09,165.4,Matthew Stafford ,QB,DET,29,12.7,140,186,5
14.11,166.9,Malcolm Brown ,RB,LAR,30,14.1,130,180,9
14.11,167.4,Houston Defense,DEF,HOU,29,12.2,136,180,8
14.12,168.0,Jake Elliott ,PK,PHI,17,5.1,162,179,9
15.01,168.7,Michael Badgley ,PK,LAC,17,4.8,162,179,10
15.02,169.8,Mason Crosby ,PK,GB,24,2.8,166,176,5
15.02,170.1,Mohamed Sanu ,WR,NE,17,10.6,142,180,6
15.03,171.2,Matt Prater ,PK,DET,13,5.2,163,178,5
15.04,171.8,Buffalo Defense,DEF,BUF,38,9.8,146,191,11
15.04,172.0,Brett Maher ,PK,DAL,32,10.4,145,186,10
15.04,172.3,Dan Bailey,PK,MIN,18,4.8,166,180,7
