age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,player,pos,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass
29,6,1,1,15,15,0,0,0,0,0,Zach Ertz,TE,88,6,916,10.41,0,0,0,,135,1,
23,8,0,0,16,15,0,0,0,0,0,Joe Mixon,RB,35,3,287,8.20,278,5,1137,4.09,45,,
25,14,3,2,15,15,0,0,0,0,0,Todd Gurley,RB,31,2,207,6.68,223,12,857,3.84,49,1,
32,9,0,0,14,7,0,0,0,0,0,Jared Cook,TE,43,9,705,16.40,0,0,0,,65,,
26,10,3,0,16,14,1,0,0,0,0,Cooper Kupp,WR,94,10,1161,12.35,2,0,4,2.00,134,,
30,6,1,0,15,15,0,0,0,0,0,Julio Jones ,WR,99,6,1394,14.08,2,0,-3,-1.50,157,,
26,9,0,0,16,14,0,0,0,0,0,DeVante Parker,WR,72,9,1202,16.69,0,0,0,,128,,
24,3,1,1,15,15,0,0,0,0,0,Leonard Fournette ,RB,76,0,522,6.87,265,3,1152,4.35,100,,
,,,,,,,,,,,,,,,,,,,,,,,
25,1,12,5,16,16,626,380,30,33,5109,Jameis Winston,QB,0,0,0,,59,1,250,4.24,0,2,2
25,6,0,0,13,10,0,0,0,0,0,Austin Hooper,TE,75,6,787,10.49,0,0,0,,97,1,
25,8,0,0,16,16,0,0,0,0,0,Amari Cooper,WR,79,8,1189,15.05,1,0,6,6.00,119,,
26,8,0,0,13,13,0,0,0,0,0,Mike Evans,WR,67,8,1157,17.27,0,0,0,,118,1,
22,9,1,0,16,11,0,0,0,0,0,A.J. Brown,WR,52,8,1051,20.21,3,1,60,20.00,84,,
27,7,0,0,15,15,2,1,1,1,6,DeAndre Hopkins,WR,104,7,1165,11.20,2,0,18,9.00,150,1,
21,7,1,1,13,13,0,0,0,0,0,Josh Jacobs,RB,20,0,166,8.30,242,7,1150,4.75,27,,
27,6,0,0,16,16,0,0,0,0,0,Keenan Allen,WR,104,6,1199,11.53,3,0,16,5.33,149,,
22,6,2,1,16,11,0,0,0,0,0,Miles Sanders ,RB,50,3,509,10.18,179,3,818,4.57,63,1,
26,7,0,0,16,15,0,0,0,0,0,Allen Robinson,WR,98,7,1147,11.70,1,0,2,2.00,154,,
33,6,3,1,16,13,2,2,0,1,47,Julian Edelman,WR,100,6,1117,11.17,8,0,27,3.38,153,1,
24,6,4,1,14,9,1,1,0,0,13,Alvin Kamara,RB,81,1,533,6.58,171,5,797,4.66,97,,
23,8,0,0,14,12,0,0,0,0,0,Marlon Mack,RB,14,0,82,5.86,247,8,1091,4.42,17,1,
27,6,0,0,16,16,0,0,0,0,0,Jarvis Landry,WR,83,6,1174,14.14,1,0,10,10.00,138,,
23,9,14,4,16,16,461,271,9,20,3089,Josh Allen ,QB,0,0,0,,109,9,510,4.68,0,1,2
27,8,1,0,16,16,0,0,0,0,0,Tyler Lockett,WR,82,8,1057,12.89,4,0,-5,-1.25,110,,
23,8,0,0,15,14,0,0,0,0,0,DJ Chark,WR,73,8,1008,13.81,2,0,20,10.00,118,1,
25,8,2,1,14,10,0,0,0,0,0,Kenyan Drake,RB,50,0,345,6.90,170,8,817,4.81,68,1,
24,2,3,2,14,14,484,319,5,26,4031,Patrick Mahomes ,QB,0,0,0,,43,2,218,5.07,0,,1
25,7,0,0,16,16,0,0,0,0,0,Phillip Lindsay,RB,35,0,196,5.60,224,7,1011,4.51,48,,
22,4,5,2,16,16,542,349,12,20,3722,Kyler Murray ,QB,0,0,0,,93,4,544,5.85,0,,3
24,6,2,0,16,14,1,1,0,0,38,Courtland Sutton ,WR,72,6,1112,15.44,3,0,17,5.67,124,,
26,6,4,3,15,15,1,0,0,0,0,Stefon Diggs,WR,63,6,1130,17.94,5,0,61,12.20,94,,
29,6,0,0,15,15,1,1,0,1,28,John Brown,WR,72,6,1060,14.72,2,0,7,3.50,115,,
25,5,1,1,12,12,0,0,0,0,0,Hunter Henry ,TE,55,5,652,11.85,0,0,0,,76,1,
23,6,0,0,14,12,0,0,0,0,0,Michael Gallup,WR,66,6,1107,16.77,0,0,0,,113,,
36,1,4,4,16,16,569,353,4,26,4002,Aaron Rodgers ,QB,0,0,0,,46,1,183,3.98,0,1,2
26,3,0,0,15,15,0,0,0,0,0,Tyler Higbee,TE,69,3,734,10.64,0,0,0,,89,,
22,4,2,1,15,15,0,0,0,0,0,D.J. Moore,WR,87,4,1175,13.51,6,0,40,6.67,135,,
27,3,0,0,15,15,0,0,0,0,0,Robert Woods,WR,90,2,1134,12.60,17,1,115,6.76,139,,
,,,,,,,,,,,,,,,,,,,,,,,
27,1,16,7,16,16,607,388,7,27,4039,Carson Wentz ,QB,0,0,0,,62,1,243,3.92,0,,2
27,10,2,2,16,0,0,0,0,0,0,Raheem Mostert,RB,14,2,180,12.86,137,8,772,5.64,22,,
24,5,2,2,15,9,0,0,0,0,0,Dallas Goedert,TE,58,5,607,10.47,0,0,0,,87,,
27,4,1,1,15,15,0,0,0,0,0,Le'Veon Bell,RB,66,1,461,6.98,245,3,789,3.22,78,1,
24,5,1,1,16,5,0,0,0,0,0,Mike Gesicki,TE,51,5,570,11.18,0,0,0,,89,,
25,7,0,0,13,10,0,0,0,0,0,Calvin Ridley,WR,63,7,866,13.75,2,0,34,17.00,93,1,
22,7,2,2,16,8,0,0,0,0,0,David Montgomery,RB,25,1,185,7.40,242,6,889,3.67,35,,
24,7,0,0,14,14,0,0,0,0,0,Terry McLaurin ,WR,58,7,919,15.84,0,0,0,,93,,
25,5,2,2,16,15,0,0,0,0,0,Tyler Boyd,WR,90,5,1046,11.62,4,0,23,5.75,148,,
34,1,9,5,15,15,616,408,14,26,4466,Matt Ryan,QB,0,0,0,,34,1,147,4.32,0,,1
23,6,2,1,15,11,0,0,0,0,0,Deebo Samuel,WR,57,3,802,14.07,14,3,159,11.36,81,1,
29,9,0,0,13,11,0,0,0,0,0,Marvin Jones ,WR,62,9,779,12.56,2,0,0,0.00,91,,
29,6,4,2,16,14,0,0,0,0,0,Carlos Hyde,RB,10,0,42,4.20,245,6,1070,4.37,16,,
25,7,0,0,12,12,0,0,0,0,0,Tyreek Hill,WR,58,7,860,14.83,8,0,23,2.88,89,,
27,5,2,1,12,12,0,0,0,0,0,Davante Adams,WR,83,5,997,12.01,0,0,0,,127,1,
24,7,2,1,16,14,0,0,0,0,0,Sony Michel,RB,12,0,94,7.83,247,7,912,3.69,20,,
42,3,4,1,16,16,613,373,8,24,4057,Tom Brady ,QB,0,0,0,,26,3,34,1.31,0,,1
37,4,1,1,16,16,0,0,0,0,0,Jason Witten,TE,63,4,529,8.40,0,0,0,,83,1,
27,0,0,0,10,2,0,0,0,0,0,Michael Burton,,0,0,0,,0,0,0,,1,,
25,2,10,5,16,16,626,394,16,22,4638,Jared Goff,QB,0,0,0,,33,2,40,1.21,0,,
28,1,10,5,16,16,476,329,13,27,3978,Jimmy Garoppolo,QB,0,0,0,,46,1,62,1.35,0,,2
28,2,7,3,16,16,513,361,8,21,4054,Derek Carr,QB,0,0,0,,27,2,82,3.04,0,,
31,1,10,3,15,15,444,307,6,26,3603,Kirk Cousins ,QB,0,0,0,,31,1,63,2.03,1,,1
37,4,9,2,15,13,502,311,13,20,3529,Ryan Fitzpatrick,QB,0,0,0,,54,4,243,4.50,0,,1
38,0,8,3,16,16,591,390,20,23,4615,Philip Rivers,QB,0,0,0,,12,0,29,2.42,0,,1
24,3,6,2,16,16,534,317,21,22,3827,Baker Mayfield,QB,0,0,0,,28,3,141,5.04,0,,1
23,0,13,7,14,12,470,285,6,21,3271,Gardner Minshew II,QB,0,0,0,,67,0,344,5.13,0,,3
40,1,0,0,11,11,378,281,4,27,2979,Drew Brees,QB,0,0,0,,9,1,-4,-0.44,0,,
31,4,6,3,12,10,286,201,6,22,2742,Ryan Tannehill,QB,0,0,0,,43,4,185,4.30,0,1,
27,4,7,5,15,15,447,272,6,18,2942,Jacoby Brissett,QB,1,0,2,2.00,56,4,228,4.07,1,,1
,,,,,,,,,,,,,,,,,,,,,,,
22,2,18,11,13,12,459,284,12,24,3027,Daniel Jones ,QB,0,0,0,,45,2,279,6.20,0,,2
32,4,8,4,13,13,528,314,14,16,3494,Andy Dalton,QB,1,0,-4,-4.00,32,4,73,2.28,1,1,1
25,2,5,2,15,15,516,326,10,17,3138,Mitchell Trubisky ,QB,0,0,0,,48,2,193,4.02,0,,1
22,2,11,3,13,13,441,273,13,19,3024,Sam Darnold ,QB,0,0,0,,33,2,62,1.88,0,,3
23,2,13,7,13,12,489,303,16,17,3322,Kyle Allen,QB,0,0,0,,32,2,106,3.31,0,,
31,0,5,3,8,8,291,187,5,19,2499,Matthew Stafford,QB,0,0,0,,20,0,66,3.30,0,,
27,6,3,2,14,14,0,0,0,0,0,Devonta Freeman ,RB,59,4,410,6.95,184,2,656,3.57,70,,
26,9,4,3,12,11,0,0,0,0,0,Melvin Gordon,RB,42,1,296,7.05,162,8,612,3.78,55,,
22,6,3,2,16,9,0,0,0,0,0,Ronald Jones II,RB,31,0,309,9.97,172,6,724,4.21,40,,
34,5,3,2,15,15,0,0,0,0,0,Adrian Peterson,RB,17,0,142,8.35,211,5,898,4.26,23,,
22,7,3,3,16,15,0,0,0,0,0,D.K. Metcalf,WR,58,7,900,15.52,2,0,11,5.50,100,1,
27,6,1,1,15,1,1,1,0,0,35,James White ,RB,72,5,645,8.96,67,1,263,3.93,95,1,
27,4,1,1,16,15,2,1,0,0,20,Odell Beckham Jr.,WR,74,4,1035,13.99,3,0,10,3.33,133,,
32,5,0,0,17,16,1,1,0,1,35,Emmanuel Sanders ,WR,66,5,869,13.17,0,0,0,,97,1,
29,6,0,0,16,8,0,0,0,0,0,Latavius Murray,RB,34,1,235,6.91,146,5,637,4.36,43,,
22,8,0,0,14,9,0,0,0,0,0,Darius Slayton,WR,48,8,740,15.42,0,0,0,,84,,
26,6,0,0,16,12,0,0,0,0,0,Jamison Crowder,WR,78,6,833,10.68,1,0,4,4.00,122,,
22,4,4,1,12,8,0,0,0,0,0,Devin Singletary,RB,29,2,194,6.69,151,2,775,5.13,41,,
30,6,0,0,15,10,0,0,0,0,0,Cole Beasley,WR,67,6,778,11.61,0,0,0,,106,2,
23,7,0,0,16,15,0,0,0,0,0,Curtis Samuel ,WR,54,6,627,11.61,19,1,130,6.84,105,,
26,7,0,0,14,11,0,0,0,0,0,Tevin Coleman,RB,21,1,180,8.57,137,6,544,3.97,30,,
24,7,1,1,10,10,0,0,0,0,0,James Conner,RB,34,3,251,7.38,116,4,464,4.00,38,,
25,2,0,0,15,15,0,0,0,0,0,Mike Williams ,WR,49,2,1001,20.43,1,0,2,2.00,90,,
27,7,1,1,11,6,0,0,0,0,0,Damien Williams ,RB,30,2,213,7.10,111,5,498,4.49,37,,
26,5,1,0,16,15,0,0,0,0,0,Robby Anderson,WR,52,5,779,14.98,1,0,4,4.00,96,1,
27,5,0,0,16,14,0,0,0,0,0,Chris Conley,WR,47,5,775,16.49,0,0,0,,90,1,
26,5,1,1,16,2,0,0,0,0,0,Duke Johnson,RB,44,3,410,9.32,83,2,410,4.94,62,,
24,0,4,0,10,8,283,176,9,13,1765,Mason Rudolph,QB,0,0,0,,21,0,42,2.00,0,,
24,6,0,0,14,2,0,0,0,0,0,Jamaal Williams,RB,39,5,253,6.49,107,1,460,4.30,45,,
28,6,1,1,13,9,0,0,0,0,0,David Johnson,RB,36,4,370,10.28,94,2,345,3.67,47,,
,,,,,,,,,,,,,,,,,,,,,,,
23,6,5,2,16,12,0,0,0,0,0,Diontae Johnson ,WR,59,5,680,11.53,4,0,41,10.25,92,,
31,1,6,3,10,8,247,160,5,11,1707,Case Keenum,QB,0,0,0,,9,1,12,1.33,0,,
31,6,1,1,11,10,0,0,0,0,0,Golden Tate,WR,49,6,676,13.80,1,0,16,16.00,85,,
36,4,1,1,16,16,0,0,0,0,0,Larry Fitzgerald,WR,75,4,804,10.72,0,0,0,,109,,
26,6,0,0,14,4,0,0,0,0,0,Breshad Perriman,WR,36,6,645,17.92,2,0,16,8.00,69,,
25,7,1,1,16,7,0,0,0,0,0,Peyton Barber,RB,16,1,115,7.19,154,6,470,3.05,24,1,
25,7,0,0,10,4,0,0,0,0,0,Jordan Howard,RB,10,1,69,6.90,119,6,525,4.41,14,,
27,6,0,0,14,12,0,0,0,0,0,Tyrell Williams,WR,42,6,651,15.50,0,0,0,,64,,
22,7,0,0,14,11,0,0,0,0,0,Marquise Brown ,WR,46,7,584,12.70,0,0,0,,71,,
29,3,2,1,15,6,1,0,0,0,0,Randall Cobb,WR,55,3,828,15.05,3,0,11,3.67,83,,
23,3,0,0,13,13,0,0,0,0,0,Christian Kirk,WR,68,3,709,10.43,10,0,93,9.30,108,1,
23,4,0,0,16,0,0,0,0,0,0,Royce Freeman,RB,43,1,256,5.95,132,3,496,3.76,50,,
21,7,2,2,16,5,0,0,0,0,0,Mecole Hardman,WR,26,6,538,20.69,4,0,17,4.25,41,,
25,5,0,0,16,13,1,0,0,0,0,Zach Pascal,WR,41,5,607,14.80,2,0,16,8.00,72,1,
31,5,3,2,13,9,0,0,0,0,0,LeSean McCoy,RB,28,1,181,6.46,101,4,465,4.60,34,,
26,3,1,0,15,11,0,0,0,0,0,Dede Westbrook,WR,66,3,660,10.00,5,0,27,5.40,101,2,
27,0,1,0,9,5,196,133,2,9,1384,Teddy Bridgewater,QB,0,0,0,,28,0,31,1.11,0,,
23,3,1,1,15,10,0,0,0,0,0,James Washington,WR,44,3,735,16.70,0,0,0,,80,,
26,3,2,1,14,13,0,0,0,0,0,Sammy Watkins,WR,52,3,673,12.94,2,0,12,6.00,90,1,
24,2,2,1,16,1,0,0,0,0,0,Gus Edwards ,RB,7,0,45,6.43,133,2,711,5.35,7,,
26,3,0,0,16,3,0,0,0,0,0,DeAndre Washington,RB,36,0,292,8.11,108,3,387,3.58,41,,
24,3,3,0,16,11,0,0,0,0,0,Tarik Cohen,RB,79,3,456,5.77,64,0,213,3.33,104,,
34,0,8,3,8,8,262,171,5,6,1822,Joe Flacco,QB,0,0,0,,12,0,20,1.67,0,,1
25,3,1,0,11,11,0,0,0,0,0,Will Fuller,WR,49,3,670,13.67,0,0,0,,71,,
26,0,3,0,7,6,160,95,2,7,1203,Marcus Mariota,QB,0,0,0,,24,0,129,5.38,0,,
24,4,1,0,13,4,0,0,0,0,0,Hunter Renfrow,WR,49,4,605,12.35,0,0,0,,71,,
26,3,0,0,10,10,0,0,0,0,0,Sterling Shepard,WR,57,3,576,10.11,6,0,72,12.00,83,1,
24,2,2,1,13,5,0,0,0,0,0,Matt Breida,RB,19,1,120,6.32,123,1,623,5.07,22,,
29,7,0,0,10,10,0,0,0,0,0,Adam Thielen,WR,30,6,418,13.93,4,1,6,1.50,48,,
29,7,0,0,16,5,6,3,0,0,55,Taysom Hill,QB,19,6,234,12.32,27,1,156,5.78,22,,
,,,,,,,,,,,,,,,,,,,,,,,
36,2,0,0,16,8,0,0,0,0,0,Frank Gore,RB,13,0,100,7.69,166,2,599,3.61,16,,
30,5,0,0,10,10,0,0,0,0,0,T.Y. Hilton,WR,45,5,501,11.13,0,0,0,,68,,
27,4,0,0,13,5,0,0,0,0,0,Kenny Stills,WR,40,4,561,14.03,0,0,0,,55,,
34,1,0,0,15,10,1,1,0,1,19,Danny Amendola,WR,62,1,678,10.94,0,0,0,,97,,
29,5,0,0,10,10,0,0,0,0,0,Alshon Jeffery,WR,43,4,490,11.40,1,1,2,2.00,73,,
22,0,6,2,9,7,203,119,7,7,1365,Dwayne Haskins ,QB,0,0,0,,20,0,101,5.05,0,,1
26,2,0,0,14,14,0,0,0,0,0,Brandin Cooks,WR,42,2,583,13.88,6,0,52,8.67,72,,
33,7,0,0,16,14,0,0,0,0,0,Darren Fells,TE,34,7,341,10.03,0,0,0,,48,,
25,2,1,1,16,7,0,0,0,0,0,Anthony Miller,WR,52,2,656,12.62,1,0,-1,-1.00,85,,
22,6,1,0,16,2,1,0,0,0,0,Steven Sims,WR,34,4,310,9.12,9,1,85,9.44,56,,
22,4,1,1,8,7,0,0,0,0,0,Kerryon Johnson,RB,10,1,127,12.70,113,3,403,3.57,15,,
30,6,0,0,16,16,0,0,0,0,0,Kyle Rudolph ,TE,39,6,367,9.41,0,0,0,,48,1,
29,3,1,1,13,1,0,0,0,0,0,Rex Burkhead ,RB,27,0,279,10.33,65,3,302,4.65,38,,
23,4,1,1,16,2,0,0,0,0,0,Nyheim Hines,RB,44,0,320,7.27,52,2,199,3.83,58,,
22,3,1,1,15,0,0,0,0,0,0,Tony Pollard,RB,15,1,107,7.13,86,2,455,5.29,20,1,
24,5,4,1,11,2,0,0,0,0,0,Boston Scott,RB,24,0,204,8.50,61,5,245,4.02,26,,
24,2,1,0,15,11,0,0,0,0,0,Corey Davis ,WR,43,2,601,13.98,0,0,0,,69,,
26,5,0,0,14,4,0,0,0,0,0,Phillip Dorsett,WR,29,5,397,13.69,3,0,21,7.00,54,,
34,2,0,0,14,14,0,0,0,0,0,Greg Olsen,TE,52,2,597,11.48,0,0,0,,82,,
23,5,0,0,13,2,0,0,0,0,0,Chase Edmonds,RB,12,1,105,8.75,60,4,303,5.05,21,,
22,3,1,1,16,11,0,0,0,0,0,Noah Fant,TE,40,3,562,14.05,3,0,-12,-4.00,66,,
23,3,1,1,12,12,0,0,0,0,0,JuJu Smith-Schuster,WR,42,3,552,13.14,0,0,0,,70,,
24,3,0,0,16,14,0,0,0,0,0,Jonnu Smith,TE,35,3,439,12.54,4,0,78,19.50,44,,
29,4,1,0,16,16,0,0,0,0,0,Jack Doyle,TE,43,4,448,10.42,0,0,0,,72,,
25,4,0,0,16,10,0,0,0,0,0,Demarcus Robinson,WR,32,4,449,14.03,0,0,0,,55,,
24,5,0,0,16,0,0,0,0,0,0,Kendrick Bourne,WR,30,5,358,11.93,0,0,0,,44,1,
24,3,0,0,16,3,0,0,0,0,0,Allen Lazard,WR,35,3,477,13.63,1,0,21,21.00,52,,
23,0,3,1,5,5,156,100,3,7,1020,Drew Lock,QB,0,0,0,,18,0,72,4.00,0,,
23,4,1,1,10,0,0,0,0,0,0,Rashaad Penny,RB,8,1,83,10.38,65,3,370,5.69,11,,
25,3,1,1,8,8,0,0,0,0,0,John Ross ,WR,28,3,506,18.07,3,0,4,1.33,56,,
,,,,,,,,,,,,,,,,,,,,,,,
25,3,0,0,8,6,0,0,0,0,0,Evan Engram ,TE,44,3,467,10.61,3,0,7,2.33,68,,
30,2,0,0,15,12,0,0,0,0,0,Mohamed Sanu,WR,59,2,520,8.81,3,0,11,3.67,89,,
29,3,0,0,16,4,0,0,0,0,0,Tyler Eifert,TE,43,3,436,10.14,0,0,0,,63,1,
29,5,0,0,13,13,0,0,0,0,0,Ryan Griffin,TE,34,5,320,9.41,0,0,0,,41,1,
24,3,1,0,8,3,0,0,0,0,0,Kareem Hunt,RB,37,1,285,7.70,43,2,179,4.16,44,,
27,5,0,0,16,11,0,0,0,0,0,Willie Snead ,WR,31,5,339,10.94,2,0,2,1.00,46,,
33,3,1,0,16,10,0,0,0,0,0,Jimmy Graham,TE,38,3,447,11.76,0,0,0,,60,,
22,1,1,1,12,10,0,0,0,0,0,Auden Tate,WR,40,1,575,14.38,0,0,0,,80,,
28,4,0,0,9,7,0,0,0,0,0,Taylor Gabriel,WR,29,4,353,12.17,3,0,20,6.67,48,,
22,3,2,1,8,7,0,0,0,0,0,Preston Williams,WR,32,3,428,13.38,0,0,0,,60,,
21,1,1,1,13,0,0,0,0,0,0,Alexander Mattison,RB,10,0,82,8.20,100,1,462,4.62,12,,
25,2,0,0,16,10,0,0,0,0,0,Marquez Valdes-Scantling,WR,26,2,452,17.38,2,0,9,4.50,56,,
26,5,0,0,14,1,0,0,0,0,0,Malcolm Brown ,RB,2,0,16,8.00,69,5,255,3.70,6,,
26,1,1,0,3,3,105,62,4,4,685,Jeff Driskel,QB,1,0,6,6.00,22,1,151,6.86,1,,
24,3,0,0,12,2,0,0,0,0,0,Brian Hill,RB,10,1,69,6.90,78,2,323,4.14,14,,
23,2,1,1,14,4,5,4,1,0,35,Jaylen Samuels,RB,47,1,305,6.49,66,1,175,2.65,57,,
25,4,0,0,15,6,0,0,0,0,0,Tajae Sharpe,WR,25,4,329,13.16,0,0,0,,35,,
26,3,0,0,11,2,0,0,0,0,0,Eric Ebron,TE,31,3,375,12.10,0,0,0,,52,,
34,2,0,0,16,9,0,0,0,0,0,Ted Ginn Jr.,WR,30,2,421,14.03,3,0,18,6.00,56,,
26,3,2,1,11,10,0,0,0,0,0,Nelson Agholor,WR,39,3,363,9.31,2,0,7,3.50,69,1,
28,4,0,0,16,6,0,0,0,0,0,Cameron Brate,TE,36,4,311,8.64,0,0,0,,55,,
26,3,0,0,16,1,0,0,0,0,0,Keelan Cole,WR,24,3,361,15.04,1,0,6,6.00,35,,
25,3,1,0,16,7,0,0,0,0,0,Blake Jarwin,TE,31,3,365,11.77,0,0,0,,41,,
21,2,1,1,13,2,0,0,0,0,0,Benny Snell Jr.,RB,3,0,23,7.67,108,2,426,3.94,4,,
27,2,0,0,16,9,0,0,0,0,0,Jordan Akins,TE,36,2,418,11.61,0,0,0,,55,,
24,1,1,0,5,5,174,94,6,4,984,David Blough,QB,1,1,19,19.00,8,0,31,3.88,1,,
38,0,3,1,4,4,147,91,5,6,1042,Eli Manning ,QB,0,0,0,,4,0,7,1.75,0,,
27,0,4,2,16,6,1,1,0,0,26,Alex Erickson ,WR,43,0,529,12.30,5,0,33,6.60,78,,
25,2,0,0,13,2,0,0,0,0,0,Gerald Everett,TE,37,2,408,11.03,1,0,0,0.00,60,,
26,3,0,0,11,3,0,0,0,0,0,Jacob Hollister,TE,41,3,349,8.51,0,0,0,,59,,
,,,,,,,,,,,,,,,,,,,,,,,
23,5,0,0,11,6,0,0,0,0,0,Tre'Quan Smith,WR,18,5,234,13.00,0,0,0,,25,,
24,4,1,1,12,0,0,0,0,0,0,Darrel Williams,RB,15,1,167,11.13,41,3,141,3.44,19,,
28,2,1,1,14,7,0,0,0,0,0,Allen Hurns,WR,32,2,416,13.00,0,0,0,,47,,
23,2,0,0,15,11,0,0,0,0,0,Dawson Knox,TE,28,2,388,13.86,1,0,9,9.00,50,,
29,0,1,0,11,0,0,0,0,0,0,Chris Thompson,RB,42,0,378,9.00,37,0,138,3.73,58,,
23,4,1,0,6,6,0,0,0,0,0,Will Dissly,TE,23,4,262,11.39,1,0,7,7.00,27,,
23,0,5,1,8,6,160,100,8,5,1063,Devlin Hodges ,QB,0,0,0,,21,0,68,3.24,0,,
23,1,1,1,16,4,0,0,0,0,0,Russell Gage,WR,49,1,446,9.10,4,0,12,3.00,74,,
22,3,0,0,5,1,0,0,0,0,0,Derrius Guice,RB,7,1,79,11.29,42,2,245,5.83,9,,
25,1,1,1,14,14,0,0,0,0,0,O.J. Howard ,TE,34,1,459,13.50,0,0,0,,53,,
26,2,1,0,12,3,0,0,0,0,0,Adam Humphries,WR,37,2,374,10.11,1,0,1,1.00,47,,
26,1,0,0,16,3,0,0,0,0,0,J.D. McKissic,RB,34,1,233,6.85,38,0,205,5.39,42,,
22,2,0,0,12,7,0,0,0,0,0,T.J. Hockenson ,TE,32,2,367,11.47,0,0,0,,59,,
32,1,0,0,11,10,0,0,0,0,0,Demaryius Thomas,WR,36,1,433,12.03,0,0,0,,58,,
22,3,0,0,16,6,0,0,0,0,0,Olabisi Johnson,WR,31,3,294,9.48,1,0,6,6.00,45,,
24,3,0,0,16,2,0,0,0,0,0,Mike Boone,RB,3,0,17,5.67,49,3,273,5.57,4,,
28,1,0,0,11,7,1,0,1,0,0,Josh Gordon,WR,27,1,426,15.78,1,0,1,1.00,47,,
26,2,0,0,16,4,0,0,0,0,0,Hayden Hurst,TE,30,2,349,11.63,0,0,0,,39,,
22,5,0,0,13,7,0,0,0,0,0,Foster Moreau,TE,21,5,174,8.29,0,0,0,,25,,
26,0,2,0,16,0,0,0,0,0,0,Jalen Richard,RB,36,0,323,8.97,39,0,145,3.72,43,,
25,2,0,0,14,1,0,0,0,0,0,Jordan Wilkins,RB,7,0,43,6.14,51,2,307,6.02,11,,
29,3,1,0,14,14,0,0,0,0,0,Vance McDonald,TE,38,3,273,7.18,1,0,2,2.00,55,,
27,1,0,0,13,4,2,1,0,0,20,Albert Wilson,WR,43,1,351,8.16,5,0,45,9.00,62,,
24,1,0,0,15,4,0,0,0,0,0,Patrick Laird,RB,23,0,204,8.87,62,1,168,2.71,30,1,
24,4,1,1,14,3,0,0,0,0,0,Ricky Seals-Jones,TE,14,4,229,16.36,0,0,0,,22,,
22,3,2,0,9,6,0,0,0,0,0,Kaden Smith,TE,31,3,268,8.65,0,0,0,,42,,
26,2,0,0,16,15,0,0,0,0,0,Nick Boyle,TE,31,2,321,10.35,0,0,0,,43,,
24,5,0,0,10,0,0,0,0,0,0,Jeff Wilson,RB,3,1,34,11.33,27,4,105,3.89,5,,
