age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,player,pos,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass
23,19,1,0,16,16,2,0,0,0,0,Christian McCaffrey ,RB,116,4,1005,8.66,287,15,1387,4.83,142,1,
22,7,9,2,15,15,401,265,6,36,3127,Lamar Jackson,QB,0,0,0,,176,7,1206,6.85,0,,
25,18,5,3,15,15,0,0,0,0,0,Derrick Henry ,RB,18,2,206,11.44,303,16,1540,5.08,24,,
25,19,3,2,16,16,0,0,0,0,0,Aaron Jones,RB,49,3,474,9.67,236,16,1084,4.59,68,,
24,14,3,2,16,16,0,0,0,0,0,Ezekiel Elliott,RB,54,2,420,7.78,301,12,1357,4.51,71,,
24,13,4,2,14,14,0,0,0,0,0,Dalvin Cook,RB,53,0,519,9.79,250,13,1135,4.54,63,,
26,9,1,0,16,15,0,0,0,0,0,Michael Thomas,WR,149,9,1725,11.58,1,0,-9,-9.00,185,,
30,6,1,1,16,16,0,0,0,0,0,Travis Kelce,TE,97,5,1229,12.67,1,1,4,4.00,136,,
24,8,3,3,16,16,0,0,0,0,0,Nick Chubb,RB,36,0,278,7.72,298,8,1494,5.01,49,,
24,11,3,2,16,8,0,0,0,0,0,Austin Ekeler,RB,92,8,993,10.79,132,3,557,4.22,108,,
30,15,2,2,15,15,0,0,0,0,0,Mark Ingram,RB,26,5,247,9.50,202,10,1018,5.04,29,2,
26,3,6,2,16,16,596,388,11,30,4902,Dak Prescott ,QB,0,0,0,,52,3,277,5.33,0,,1
23,10,2,1,15,4,0,0,0,0,0,Mark Andrews,TE,64,10,852,13.31,0,0,0,,98,,
31,3,8,2,16,16,516,341,5,31,4110,Russell Wilson ,QB,0,0,0,,75,3,342,4.56,0,,1
23,9,0,0,14,14,0,0,0,0,0,Chris Godwin,WR,86,9,1333,15.50,1,0,8,8.00,121,1,
26,5,1,0,14,14,0,0,0,0,0,George Kittle,TE,85,5,1053,12.39,5,0,22,4.40,107,,
24,8,10,3,15,15,495,333,12,26,3852,Deshaun Watson ,QB,1,1,6,6.00,82,7,413,5.04,1,,1
25,9,7,4,15,15,0,0,0,0,0,Chris Carson,RB,37,2,266,7.19,278,7,1230,4.42,47,,
27,3,1,1,16,16,0,0,0,0,0,Darren Waller,TE,90,3,1145,12.72,2,0,5,2.50,117,,
26,11,1,1,16,16,0,0,0,0,0,Kenny Golladay,WR,65,11,1190,18.31,0,0,0,,116,,
22,8,1,0,13,13,0,0,0,0,0,Saquon Barkley,RB,52,2,438,8.42,217,6,1003,4.62,73,,
