ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
7.03,87.3,Sony Michel ,RB,NE,9,4.8,83,99,6
7.04,88.2,Aaron Rodgers ,QB,GB,6,9.7,77,100,5
7.05,88.9,Julian Edelman ,WR,NE,18,7.4,77,112,6
7.05,89.0,Latavius Murray ,RB,NO,15,3.9,84,98,6
7.07,91.0,Jarvis Landry ,WR,CLE,9,6.4,84,103,9
7.07,91.2,Marvin Jones ,WR,DET,17,4.1,80,98,5
7.07,91.3,Hunter Henry ,TE,LAC,11,7.3,80,99,10
7.08,92.1,Mecole Hardman ,WR,KC,7,4.1,85,98,10
7.08,92.2,Jared Cook ,TE,NO,5,8.9,83,106,6
7.08,92.5,Hayden Hurst ,TE,ATL,23,7.6,83,109,10
7.10,94.3,Tyler Higbee ,TE,LAR,18,8.3,84,112,9
7.12,95.9,Josh Allen ,QB,BUF,7,11.4,76,108,11
7.12,96.4,Tevin Coleman ,RB,SF,11,5.3,85,103,11
7.12,96.5,CeeDee Lamb ,WR,DAL,11,5.4,84,105,10
7.13,96.8,Alexander Mattison ,RB,MIN,4,2.6,93,99,7
8.02,100.0,Matt Breida ,RB,MIA,5,7.0,92,111,11
8.03,100.8,Diontae Johnson ,WR,PIT,18,7.1,91,112,8
8.05,102.5,Chase Edmonds ,RB,ARI,6,4.1,97,108,8
8.07,105.2,   James White ,RB,NE,15,6.6,90,119,6
8.09,106.6,Jerry Jeudy ,WR,DEN,7,12.0,85,120,8
8.10,107.6,   Henry Ruggs  III,WR,LV,20,4.1,100,113,6
8.10,108.1,Emmanuel Sanders ,WR,NO,16,7.5,93,123,6
8.11,109.1,Matthew Stafford ,QB,DET,16,4.3,103,117,5
8.11,109.3,   Daniel Jones ,QB,NYG,18,9.2,97,124,11
8.11,109.3,Tarik Cohen ,RB,CHI,7,3.4,105,113,11
8.12,109.8,San Francisco Defense,DEF,SF,13,6.6,95,120,11
8.13,111.0,Darius Slayton ,WR,NYG,8,11.1,89,125,11
8.14,112.3,   Carson Wentz ,QB,PHI,9,4.4,103,120,9
9.04,116.2,Tony Pollard ,RB,DAL,4,3.3,112,120,10
9.04,116.4,Christian Kirk ,WR,ARI,22,7.6,103,127,8
9.04,116.5,DeSean Jackson ,WR,PHI,15,10.8,88,130,9
9.05,117.4,Darrell Henderson ,RB,LAR,5,7.2,105,124,9
9.06,117.6,Noah Fant ,TE,DEN,7,10.1,104,131,8
9.07,119.0,Ryquell Armstead ,RB,JAX,6,12.4,98,132,7
9.08,120.0,   Austin Hooper ,TE,CLE,11,14.6,95,140,9
9.08,120.2,Cam Newton ,QB,NE,20,8.4,106,136,6
9.09,120.5,Sterling Shepard ,WR,NYG,17,9.0,98,140,11
9.10,122.3,Justin Jefferson ,WR,MIN,6,7.2,110,130,7
9.11,122.8,A.J. Dillon ,RB,GB,6,4.6,118,127,5
9.11,122.9,Ben Roethlisberger ,QB,PIT,7,5.3,112,127,8
9.14,126.4,Boston Scott ,RB,PHI,18,13.3,91,145,9
10.01,126.7,Preston Williams ,WR,MIA,15,9.9,106,143,11
10.02,128.5,Sammy Watkins ,WR,KC,13,9.7,113,140,10
10.04,129.6,Damien Williams ,RB,KC,5,11.1,117,142,10
10.04,130.0,   John Brown ,WR,BUF,8,13.0,111,143,11
10.06,132.3,Justin Jackson ,RB,LAC,7,6.1,124,141,10
10.08,133.5,Jared Goff ,QB,LAR,6,10.0,119,144,9
10.09,134.6,Chris Thompson ,RB,JAX,9,10.6,118,150,7
10.10,135.5,Chicago Defense,DEF,CHI,4,7.9,126,145,11
10.10,135.8,New England Defense,DEF,NE,6,5.1,128,140,6
10.11,136.6,Jamison Crowder ,WR,NYJ,8,3.0,133,141,11
10.11,137.0,Anthony Miller ,WR,CHI,4,7.8,126,143,11
11.01,140.5,Minnesota Defense,DEF,MIN,10,4.6,133,147,7
11.01,140.6,Duke Johnson ,RB,HOU,7,17.2,106,158,8
11.03,143.0,   Baker Mayfield ,QB,CLE,5,13.3,128,159,9
11.05,144.8,   Ryan Tannehill ,QB,TEN,5,20.9,108,159,7
11.07,147.1,Joe Burrow ,QB,CIN,15,5.9,132,153,9
11.07,147.1,Mike Williams ,WR,LAC,7,11.8,131,169,10
11.08,147.7,Justin Tucker ,PK,BAL,23,11.7,123,174,8
11.08,148.3,Mike Gesicki ,TE,MIA,18,17.2,119,176,11
11.09,148.8,   Allen Lazard ,WR,GB,4,7.8,142,160,5
11.10,149.6,T.J. Hockenson ,TE,DET,20,13.2,120,169,5
11.10,150.0,N'Keal Harry ,WR,NE,4,6.5,144,159,6
11.12,151.5,Benny Snell  Jr.,RB,PIT,6,6.2,140,156,8
11.12,151.6,Carlos Hyde ,RB,SEA,7,7.3,143,161,6
11.12,152.3,Bryan Edwards ,WR,LV,6,23.6,112,178,6
11.13,153.2,Robby Anderson ,WR,CAR,4,5.7,148,160,13
11.14,153.9,Devine Ozigbo ,RB,NO,9,31.6,111,204,6
11.14,154.0,Darrel Williams ,RB,KC,10,9.5,140,172,10
12.04,157.8,Brandon Aiyuk ,WR,SF,4,9.1,148,170,11
12.04,157.8,Philip Rivers ,QB,IND,6,8.7,148,167,7
12.05,159.2,Jerick McKinnon ,RB,SF,5,8.9,148,170,11
12.05,159.2,Tampa Bay Defense,DEF,TB,9,13.0,139,173,13
12.06,159.8,Jonnu Smith ,TE,TEN,22,19.7,114,192,7
12.08,161.6,Jack Doyle ,TE,IND,7,27.9,125,209,7
12.10,163.8,Harrison Butker ,PK,KC,13,9.1,140,171,10
12.11,164.8,Drew Lock ,QB,DEN,4,23.3,142,197,8
