,Overall,Name,Position,Team_x,Times Drafted,Std. Dev,High,Low,Bye,match_name,age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,player,pos,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass,Team Def,Player_x,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,Team_y,Player_y,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA
88,86.4,Devin Singletary ,RB,BUF,192,12.8,53,106,11,devinsingletary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,86.6,Russell Wilson ,QB,SEA,40,8.0,73,106,6,russellwilson,30.0,0.0,10.0,2.0,16.0,16.0,427.0,280.0,7.0,35.0,3448.0,Russell Wilson ,QB,1.0,0.0,-11.0,-11.0,67.0,0.0,376.0,5.61,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
90,88.2,Lamar Jackson ,QB,BAL,61,12.3,56,110,8,lamarjackson,21.0,5.0,12.0,4.0,16.0,7.0,170.0,99.0,3.0,6.0,1201.0,Lamar Jackson,QB,0.0,0.0,0.0,,147.0,5.0,695.0,4.73,2.0,,,,,,,,,,,,,,,,,,,,,,,,
91,88.8,Curtis Samuel ,WR,CAR,100,7.5,69,106,13,curtissamuel,22.0,7.0,1.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,Curtis Samuel ,WR,39.0,5.0,494.0,12.67,8.0,2.0,84.0,10.5,65.0,,,,,,,,,,,,,,,,,,,,,,,,
92,88.9,Chicago Defense,DEF,CHI,86,11.7,58,101,11,chicagodefense,,,,,,,,,,,,,,,,,,,,,,,,,CHI,Chicago Bears (CHI),32.0,10.0,9.0,12.0,1.0,1.0,1.0,CHI,,,,,,,,,,,,
93,90.9,LeSean McCoy ,RB,KC,127,13.1,56,108,10,leseanmccoy,30.0,3.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,LeSean McCoy,RB,34.0,0.0,238.0,7.0,161.0,3.0,514.0,3.19,46.0,,,,,,,,,,,,,,,,,,,,,,,,
94,91.1,Sammy Watkins ,WR,KC,67,6.8,73,105,10,sammywatkins,25.0,3.0,1.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,Sammy Watkins,WR,40.0,3.0,519.0,12.98,5.0,0.0,52.0,10.4,55.0,,,,,,,,,,,,,,,,,,,,,,,,
95,91.6,Christian Kirk ,WR,ARI,85,7.9,71,106,8,christiankirk,22.0,3.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,Christian Kirk,WR,43.0,3.0,590.0,13.72,3.0,0.0,35.0,11.67,68.0,,,,,,,,,,,,,,,,,,,,,,,,
96,91.9,Rashaad Penny ,RB,SEA,58,7.5,72,103,6,rashaadpenny,22.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Rashaad Penny,RB,9.0,0.0,75.0,8.33,85.0,2.0,419.0,4.93,12.0,,,,,,,,,,,,,,,,,,,,,,,,
97,92.6,Darrell Henderson ,RB,LAR,49,6.7,75,103,9,darrellhenderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97.8,Cam Newton ,QB,CAR,98,8.5,75,115,13,camnewton,29.0,4.0,6.0,0.0,14.0,14.0,471.0,320.0,13.0,24.0,3395.0,Cam Newton,QB,0.0,0.0,0.0,,101.0,4.0,488.0,4.83,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
99,98.6,Marvin Jones ,WR,DET,65,6.1,82,108,5,marvinjones,28.0,5.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,Marvin Jones ,WR,35.0,5.0,508.0,14.51,0.0,0.0,0.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,
100,98.7,Delanie Walker ,TE,TEN,46,14.0,78,132,7,delaniewalker,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Delanie Walker,TE,4.0,0.0,52.0,13.0,0.0,0.0,0.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
101,98.8,Jordan Howard ,RB,PHI,42,9.2,74,110,9,jordanhoward,24.0,9.0,2.0,1.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,Jordan Howard,RB,20.0,0.0,145.0,7.25,250.0,9.0,935.0,3.74,26.0,,,,,,,,,,,,,,,,,,,,,,,,
102,99.0,Sterling Shepard ,WR,NYG,80,10.2,72,113,11,sterlingshepard,25.0,4.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Sterling Shepard,WR,66.0,4.0,872.0,13.21,3.0,0.0,33.0,11.0,107.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
103,102.2,Kareem Hunt ,RB,CLE,42,9.7,77,117,9,kareemhunt,23.0,14.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,Kareem Hunt,RB,26.0,7.0,378.0,14.54,181.0,7.0,824.0,4.55,35.0,,,,,,,,,,,,,,,,,,,,,,,,
104,102.5,   James Washington ,WR,PIT,73,9.0,79,116,8,jameswashington,22.0,1.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,James Washington,WR,16.0,1.0,217.0,13.56,0.0,0.0,0.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
105,102.6,Marquez Valdes-Scantling ,WR,GB,110,6.7,85,115,5,marquezvaldesscantling,24.0,2.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,Marquez Valdes-Scantling,WR,38.0,2.0,581.0,15.29,2.0,0.0,29.0,14.5,73.0,,,,,,,,,,,,,,,,,,,,,,,,
106,102.9,Kyler Murray ,QB,ARI,67,8.6,80,120,8,kylermurray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,104.3,Philip Rivers ,QB,LAC,75,10.2,79,124,10,philiprivers,37.0,0.0,2.0,1.0,16.0,16.0,508.0,347.0,12.0,32.0,4308.0,Philip Rivers,QB,0.0,0.0,0.0,,18.0,0.0,7.0,0.39,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
108,104.8,Jameis Winston ,QB,TB,80,9.2,80,119,13,jameiswinston,24.0,1.0,7.0,3.0,11.0,9.0,378.0,244.0,14.0,19.0,2992.0,Jameis Winston,QB,0.0,0.0,0.0,,49.0,1.0,281.0,5.73,0.0,,,,,,,,,,,,,,,,,,,,,,,,
109,105.4,LA Rams Defense,DEF,LAR,63,5.7,94,116,9,laramsdefense,,,,,,,,,,,,,,,,,,,,,,,,,LAR,Los Angeles Rams (LAR),50.0,13.0,11.0,13.0,4.0,1.0,0.0,LAR,,,,,,,,,,,,
110,108.4,Royce Freeman ,RB,DEN,54,8.6,86,130,8,roycefreeman,22.0,5.0,1.0,1.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,Royce Freeman,RB,14.0,0.0,72.0,5.14,130.0,5.0,521.0,4.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,
111,108.5,Corey Davis ,WR,TEN,73,8.3,86,123,7,coreydavis,23.0,4.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Corey Davis ,WR,65.0,4.0,891.0,13.71,6.0,0.0,55.0,9.17,112.0,,,,,,,,,,,,,,,,,,,,,,,,
112,109.8,Jacksonville Defense,DEF,JAX,36,15.7,68,123,7,jacksonvilledefense,,,,,,,,,,,,,,,,,,,,,,,,,JAX,,,,,,,,,,,,,,,,,,,,,
113,109.9,Eric Ebron ,TE,IND,45,17.4,73,142,7,ericebron,25.0,14.0,1.0,1.0,16.0,8.0,1.0,0.0,0.0,0.0,0.0,Eric Ebron,TE,66.0,13.0,750.0,11.36,3.0,1.0,-8.0,-2.67,110.0,,,,,,,,,,,,,,,,,,,,,,,,
114,111.3,Geronimo Allison ,WR,GB,67,8.6,89,124,5,geronimoallison,24.0,2.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,Geronimo Allison,WR,20.0,2.0,303.0,15.15,0.0,0.0,0.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,
115,111.6,Michael Gallup ,WR,DAL,81,8.3,90,127,10,michaelgallup,22.0,2.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,Michael Gallup,WR,33.0,2.0,507.0,15.36,0.0,0.0,0.0,,68.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
116,112.9,Ben Roethlisberger ,QB,PIT,96,11.2,83,133,8,benroethlisberger,36.0,3.0,7.0,2.0,16.0,16.0,675.0,452.0,16.0,34.0,5129.0,Ben Roethlisberger,QB,1.0,0.0,-1.0,-1.0,31.0,3.0,98.0,3.16,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
117,114.2,Larry Fitzgerald ,WR,ARI,64,10.8,86,130,8,larryfitzgerald,35.0,6.0,0.0,0.0,16.0,16.0,1.0,1.0,0.0,1.0,32.0,Larry Fitzgerald,WR,69.0,6.0,734.0,10.64,0.0,0.0,0.0,,112.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
118,114.3,Tom Brady ,QB,NE,76,17.4,69,135,6,tombrady,41.0,2.0,4.0,2.0,16.0,16.0,570.0,375.0,11.0,29.0,4355.0,Tom Brady ,QB,1.0,0.0,6.0,6.0,23.0,2.0,35.0,1.52,1.0,,,,,,,,,,,,,,,,,,,,,,,,
119,114.4,Adrian Peterson ,RB,WAS,42,7.6,94,129,8,adrianpeterson,33.0,8.0,3.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Adrian Peterson,RB,20.0,1.0,208.0,10.4,251.0,7.0,1042.0,4.15,26.0,,,,,,,,,,,,,,,,,,,,,,,,
120,114.9,Baltimore Defense,DEF,BAL,27,11.3,85,129,8,baltimoredefense,,,,,,,,,,,,,,,,,,,,,,,,,BAL,Baltimore Ravens (BAL),37.0,13.0,12.0,15.0,6.0,1.0,0.0,BAL,,,,,,,,,,,,
121,115.5,Peyton Barber ,RB,TB,57,10.8,87,132,13,peytonbarber,24.0,6.0,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Peyton Barber,RB,20.0,1.0,92.0,4.6,234.0,5.0,871.0,3.72,29.0,,,,,,,,,,,,,,,,,,,,,,,,
122,117.8,DeSean Jackson ,WR,PHI,55,8.6,95,133,9,deseanjackson,32.0,5.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,DeSean Jackson,WR,41.0,4.0,774.0,18.88,6.0,1.0,29.0,4.83,74.0,,,,,,,,,,,,,,,,,,,,,,,,
123,118.8,Justice Hill ,RB,BAL,92,10.2,92,139,8,justicehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,120.2,Dante Pettis ,WR,SF,57,8.7,97,134,11,dantepettis,23.0,5.0,2.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,Dante Pettis,WR,27.0,5.0,467.0,17.3,1.0,0.0,-2.0,-2.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,
125,122.4,Minnesota Defense,DEF,MIN,26,8.2,101,140,7,minnesotadefense,,,,,,,,,,,,,,,,,,,,,,,,,MIN,Minnesota Vikings (MIN),48.0,17.0,14.0,18.0,2.0,1.0,0.0,MIN,,,,,,,,,,,,
126,123.3,Justin Jackson ,RB,LAC,136,11.2,94,144,10,justinjackson,23.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,Justin Jackson,RB,15.0,0.0,135.0,9.0,50.0,2.0,206.0,4.12,19.0,,,,,,,,,,,,,,,,,,,,,,,,
127,123.9,Courtland Sutton ,WR,DEN,53,9.6,98,139,8,courtlandsutton,23.0,4.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton ,WR,42.0,4.0,704.0,16.76,1.0,0.0,-1.0,-1.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,
128,126.4,D.K.   Metcalf ,WR,SEA,30,8.4,108,140,6,dkmetcalf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,127.1,Donte Moncrief ,WR,CAR,48,8.7,104,141,13,dontemoncrief,25.0,3.0,1.0,1.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,Donte Moncrief,WR,48.0,3.0,668.0,13.92,0.0,0.0,0.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,,
130,127.3,Dak Prescott ,QB,DAL,66,7.5,107,139,10,dakprescott,25.0,6.0,12.0,6.0,16.0,16.0,526.0,356.0,8.0,22.0,3885.0,Dak Prescott ,QB,0.0,0.0,0.0,,75.0,6.0,305.0,4.07,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
131,127.5,Kalen Ballage ,RB,MIA,73,8.9,108,147,11,kalenballage,23.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalen Ballage,RB,9.0,0.0,56.0,6.22,36.0,1.0,191.0,5.31,11.0,,,,,,,,,,,,,,,,,,,,,,,,
132,127.5,  Cleveland  Defense,DEF,CLE,21,7.4,108,135,9,clevelanddefense,,,,,,,,,,,,,,,,,,,,,,,,,CLE,Cleveland Browns (CLE),38.0,14.0,6.0,12.0,1.0,0.0,0.0,CLE,,,,,,,,,,,,
133,128.6,Jaylen Samuels ,RB,PIT,73,10.3,101,146,8,jaylensamuels,22.0,3.0,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,Jaylen Samuels,RB,26.0,3.0,199.0,7.65,56.0,0.0,256.0,4.57,29.0,,,,,,,,,,,,,,,,,,,,,,,,
134,129.5,Alexander Mattison ,RB,MIN,81,10.3,102,147,7,alexandermattison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,129.7,Mark Andrews ,TE,BAL,102,16.3,87,162,8,markandrews,22.0,3.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,Mark Andrews,TE,34.0,3.0,552.0,16.24,0.0,0.0,0.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
136,130.3,Trey Burton ,TE,CHI,56,17.6,84,154,11,treyburton,27.0,6.0,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Trey Burton,TE,54.0,6.0,569.0,10.54,1.0,0.0,2.0,2.0,76.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
137,131.1,LA Chargers Defense,DEF,LAC,17,7.5,118,150,10,lachargersdefense,,,,,,,,,,,,,,,,,,,,,,,,,LAC,Los Angeles Chargers (LAC),30.0,11.0,3.0,5.0,0.0,0.0,1.0,LAC,,,,,,,,,,,,
138,131.5,   Kirk Cousins ,QB,MIN,59,9.7,106,143,7,kirkcousins,30.0,1.0,9.0,7.0,16.0,16.0,606.0,425.0,10.0,30.0,4298.0,Kirk Cousins ,QB,1.0,0.0,-1.0,-1.0,44.0,1.0,123.0,2.8,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
139,133.1,Golden Tate ,WR,NYG,44,8.4,111,146,11,goldentate,30.0,4.0,3.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,Golden Tate,WR,74.0,4.0,795.0,10.74,4.0,0.0,34.0,8.5,113.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
140,133.1,Mecole Hardman ,WR,KC,26,13.6,97,153,10,mecolehardman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,134.6,Tyrell Williams ,WR,LV,60,8.6,113,150,6,tyrellwilliams,26.0,5.0,2.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,Tyrell Williams,WR,41.0,5.0,653.0,15.93,2.0,0.0,15.0,7.5,65.0,,,,,,,,,,,,,,,,,,,,,,,,
142,134.6,Anthony Miller ,WR,CHI,31,9.0,116,150,11,anthonymiller,24.0,7.0,1.0,0.0,15.0,4.0,1.0,1.0,0.0,0.0,8.0,Anthony Miller,WR,33.0,7.0,423.0,12.82,6.0,0.0,26.0,4.33,54.0,,,,,,,,,,,,,,,,,,,,,,,,
143,135.3,   John Brown ,WR,BUF,43,8.2,115,145,11,johnbrown,28.0,5.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,John Brown,WR,42.0,5.0,715.0,17.02,3.0,0.0,4.0,1.33,97.0,,,,,,,,,,,,,,,,,,,,,,,,
144,138.4,Mitch   Trubisky ,QB,CHI,38,6.8,122,150,11,mitchtrubisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,140.3,  Dallas  Defense,DEF,DAL,34,10.1,113,159,10,dallasdefense,,,,,,,,,,,,,,,,,,,,,,,,,DAL,Dallas Cowboys (DAL),39.0,7.0,10.0,13.0,1.0,0.0,0.0,DAL,,,,,,,,,,,,
146,143.8,Carlos Hyde ,RB,HOU,122,18.5,95,171,8,carloshyde,28.0,5.0,2.0,1.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,Carlos Hyde,RB,10.0,0.0,33.0,3.3,172.0,5.0,571.0,3.32,16.0,,,,,,,,,,,,,,,,,,,,,,,,
147,144.8,Josh Allen ,QB,BUF,42,10.9,116,172,11,joshallen,22.0,8.0,8.0,2.0,12.0,11.0,320.0,169.0,12.0,10.0,2074.0,Josh Allen ,QB,0.0,0.0,0.0,,89.0,8.0,631.0,7.09,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
148,144.8,Greg Zuerlein ,PK,LAR,168,9.9,119,157,9,gregzuerlein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greg Zuerlein (DAL),27.0,31.0,87.1,56.0,0.0,9.0,10.0,4.0,4.0,35.0,36.0
149,145.1,Denver Defense,DEF,DEN,32,9.8,119,171,8,denverdefense,,,,,,,,,,,,,,,,,,,,,,,,,DEN,Denver Broncos (DEN),40.0,10.0,6.0,8.0,1.0,0.0,0.0,DEN,,,,,,,,,,,,
150,146.0,Harrison Butker ,PK,KC,41,13.7,110,160,10,harrisonbutker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harrison Butker (KC),24.0,27.0,88.9,54.0,0.0,9.0,7.0,6.0,2.0,65.0,69.0
151,146.2,New England Defense,DEF,NE,44,12.4,114,175,6,newenglanddefense,,,,,,,,,,,,,,,,,,,,,,,,,NE,New England Patriots (NE),47.0,25.0,11.0,14.0,5.0,1.0,2.0,NE,,,,,,,,,,,,
152,148.2,Damien Harris ,RB,NE,40,11.1,119,170,6,damienharris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,149.0,Keke Coutee ,WR,HOU,28,14.6,123,170,8,kekecoutee,21.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Keke Coutee,WR,28.0,1.0,287.0,10.25,3.0,0.0,0.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,
154,149.2,   Austin Hooper ,TE,ATL,129,21.1,94,180,10,austinhooper,24.0,4.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,Austin Hooper,TE,71.0,4.0,660.0,9.3,0.0,0.0,0.0,,88.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
155,149.4,Justin Tucker ,PK,BAL,87,8.6,126,159,8,justintucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Tucker (BAL),35.0,39.0,89.7,56.0,0.0,12.0,9.0,9.0,5.0,36.0,37.0
156,149.7,T.J. Hockenson ,TE,DET,122,20.6,96,180,5,tjhockenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,150.1,Ronald Jones  II,RB,TB,31,17.1,105,174,13,ronaldjonesii,21.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Ronald Jones II,RB,7.0,0.0,33.0,4.71,23.0,1.0,44.0,1.91,9.0,,,,,,,,,,,,,,,,,,,,,,,,
158,150.7,Jamison Crowder ,WR,NYJ,43,13.2,121,172,11,jamisoncrowder,25.0,2.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,Jamison Crowder,WR,29.0,2.0,388.0,13.38,4.0,0.0,30.0,7.5,49.0,,,,,,,,,,,,,,,,,,,,,,,,
159,153.7,Jimmy Garoppolo ,QB,SF,39,11.3,136,179,11,jimmygaroppolo,27.0,0.0,4.0,0.0,3.0,3.0,89.0,53.0,3.0,5.0,718.0,Jimmy Garoppolo,QB,0.0,0.0,0.0,,8.0,0.0,33.0,4.13,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
160,153.7,Ito Smith ,RB,ATL,57,15.3,119,178,10,itosmith,23.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Ito Smith,RB,27.0,0.0,152.0,5.63,90.0,4.0,315.0,3.5,32.0,,,,,,,,,,,,,,,,,,,,,,,,
161,154.2,Stephen Gostkowski ,PK,NE,25,14.1,121,169,6,stephengostkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephen Gostkowski (TEN),27.0,32.0,84.4,52.0,0.0,11.0,10.0,4.0,2.0,49.0,50.0
162,155.0,Derek Carr ,QB,LV,28,13.4,126,180,6,derekcarr,27.0,1.0,12.0,7.0,16.0,16.0,553.0,381.0,10.0,19.0,4049.0,Derek Carr,QB,1.0,0.0,-9.0,-9.0,24.0,1.0,47.0,1.96,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
163,155.0,Dion Lewis ,RB,TEN,40,14.3,121,176,7,dionlewis,28.0,2.0,1.0,1.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,Dion Lewis,RB,59.0,1.0,400.0,6.78,155.0,1.0,517.0,3.34,67.0,,,,,,,,,,,,,,,,,,,,,,,,
164,155.1,Jordan Reed ,TE,WAS,20,24.9,97,180,8,jordanreed,28.0,2.0,1.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,Jordan Reed,TE,54.0,2.0,558.0,10.33,0.0,0.0,0.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,,
165,156.1,Greg Olsen ,TE,CAR,63,24.7,91,180,13,gregolsen,33.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,Greg Olsen,TE,27.0,4.0,291.0,10.78,0.0,0.0,0.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
166,156.8,N'Keal Harry ,WR,NE,14,16.3,121,175,6,nkealharry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,156.8,CJ Anderson ,RB,FA,18,13.4,139,177,12,cjanderson,27.0,3.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,C.J. Anderson,RB,5.0,1.0,41.0,8.2,67.0,2.0,403.0,6.01,9.0,,,,,,,,,,,,,,,,,,,,,,,,
168,157.2,Marquise Goodwin ,WR,SF,37,10.9,139,176,11,marquisegoodwin,28.0,4.0,1.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,Marquise Goodwin,WR,23.0,4.0,395.0,17.17,4.0,0.0,9.0,2.25,43.0,,,,,,,,,,,,,,,,,,,,,,,,
169,157.3,Ty Montgomery ,RB,NYJ,15,19.0,112,180,11,tymontgomery,25.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Ty Montgomery,WR,25.0,0.0,235.0,9.4,41.0,1.0,188.0,4.59,40.0,,,,,,,,,,,,,,,,,,,,,,,,
170,159.2,Wil Lutz ,PK,NO,35,3.9,149,167,6,willutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wil Lutz (NO),28.0,30.0,93.3,54.0,1.0,5.0,9.0,11.0,2.0,52.0,53.0
171,159.5,Dare Ogunbowale ,RB,TB,15,22.8,103,183,13,dareogunbowale,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Dare Ogunbowale,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
172,160.1,Kenny Stills ,WR,HOU,18,14.2,135,179,8,kennystills,26.0,6.0,1.0,0.0,15.0,15.0,1.0,1.0,0.0,1.0,3.0,Kenny Stills,WR,37.0,6.0,553.0,14.95,0.0,0.0,0.0,,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
173,160.2,Kaimi Fairbairn ,PK,HOU,28,10.9,131,177,8,kaimifairbairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ka'imi Fairbairn (HOU),37.0,42.0,88.1,54.0,1.0,9.0,11.0,12.0,4.0,39.0,41.0
174,162.3,Sam Darnold ,QB,NYJ,17,13.6,129,180,11,samdarnold,21.0,1.0,5.0,2.0,13.0,13.0,414.0,239.0,15.0,17.0,2865.0,Sam Darnold ,QB,0.0,0.0,0.0,,44.0,1.0,138.0,3.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,
175,162.5,Seattle Defense,DEF,SEA,80,14.4,125,180,6,seattledefense,,,,,,,,,,,,,,,,,,,,,,,,,SEA,Seattle Seahawks (SEA),28.0,16.0,16.0,18.0,3.0,0.0,0.0,SEA,,,,,,,,,,,,
176,162.5,Tre'Quan Smith ,WR,NO,19,10.3,145,178,6,trequansmith,22.0,5.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,Tre'Quan Smith,WR,28.0,5.0,427.0,15.25,0.0,0.0,0.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,
177,162.7,Philadelphia Defense,DEF,PHI,87,11.5,132,180,9,philadelphiadefense,,,,,,,,,,,,,,,,,,,,,,,,,PHI,Philadelphia Eagles (PHI),43.0,11.0,9.0,15.0,3.0,0.0,0.0,PHI,,,,,,,,,,,,
178,163.3,Deebo Samuel ,WR,SF,20,8.1,154,179,11,deebosamuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,163.6,Miles Boykin ,WR,BAL,23,14.9,124,180,8,milesboykin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,164.4,Jacoby Brissett ,QB,IND,16,11.3,135,175,7,jacobybrissett,26.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,Jacoby Brissett,QB,0.0,0.0,0.0,,7.0,0.0,-7.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
181,164.9,Robbie Gould ,PK,SF,19,4.0,161,174,11,robbiegould,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robbie Gould (SF),33.0,34.0,97.1,53.0,0.0,9.0,13.0,9.0,2.0,27.0,29.0
182,165.4,Matthew Stafford ,QB,DET,29,12.7,140,186,5,matthewstafford,30.0,0.0,6.0,4.0,16.0,16.0,555.0,367.0,11.0,21.0,3777.0,Matthew Stafford,QB,0.0,0.0,0.0,,25.0,0.0,71.0,2.84,0.0,,,,,,,,,,,,,,,,,,,,,,,,
183,166.9,Malcolm Brown ,RB,LAR,30,14.1,130,180,9,malcolmbrown,25.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Malcolm Brown ,RB,5.0,1.0,52.0,10.4,43.0,0.0,212.0,4.93,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
184,167.4,Houston Defense,DEF,HOU,29,12.2,136,180,8,houstondefense,,,,,,,,,,,,,,,,,,,,,,,,,HOU,Houston Texans (HOU),31.0,12.0,10.0,14.0,2.0,0.0,0.0,HOU,,,,,,,,,,,,
